Equipe,Membro,Comunicacao,,,,,,,,,,Coordenacao,,,,Suporte,,,,,,,Esforco,,,,Coesão,,,,,,,,,,Contribuicao,,
,,Há comunicação frequente na equipe,Os membros da equipe estão felizes com a utilidade da informação que recebem de outros membros da equipe,Os membros da equipe estão felizes com a precisão das informações que recebem de outros membros da equipe,Os membros da equipe estão felizes por receberem informações de outros membros da equipe no momento correto,"Na equipe, há opiniões conflitantes quanto à transparência da transmissão de informações. INVERTIDO",Informações importantes são mantidas fora do conhecimento de alguns membros da equipe em certas situações INVERTIDO,Ideias e informações relevantes relacionadas ao trabalho em equipe são compartilhadas abertamente por todos os membros da equipe,Há intermediários através de quem muito da comunicação da equipe é realizada INVERTIDO,"Os membros da equipe se comunicam, na maioria das vezes, direta e pessoalmente uns com os outros.","Os membros da equipe se comunicam frequentemente em reuniões informais, conversas telefônicas, etc.",Há interesses conflitantes em nossa equipe a respeito das tarefas/metas,As metas para as tarefas são aceitas por todos os membros da equipe,Existem metas claras e totalmente compreendidas para as tarefas dentro de nossa equipe,O trabalho realizado em subtarefas pela equipe é bem harmonizado,A equipe coopera bem,A equipe é capaz de chegar a um consenso sobre questões importantes,Sugestões e contribuições dos membros da equipe são discutidas e desenvolvidas ainda mais.,As sugestões e contribuições dos membros da equipe são respeitadas,Discussões e controvérsias são conduzidas construtivamente,"Se os conflitos surgem, eles são facilmente e rapidamente resolvidos",Os membros da equipe ajudam e apoiam-se mutuamente da melhor forma possível.,Há conflitos quanto ao esforço que os membros da equipe colocam no trabalho em equipe INVERTIDO,A equipe coloca muito esforço no trabalho em equipe,Todo membro da equipe faz do trabalho em equipe a sua maior prioridade,Todo membro da equipe impulsiona o trabalho em equipe,Os membros da equipe sentem-se orgulhosos de fazer parte da equipe,Cada membro da equipe se sente responsável por manter e proteger a equipe,A equipe se mantém unida,Há uma simpatia mútua entre os membros da equipe,Existiram muitos conflitos pessoais na equipe  INVERTIDO,Todos os membros da equipe estão totalmente integrados na equipe,Os membros da equipe são fortemente ligados à equipe,A equipe não vê nada de especial no trabalho em equipe INVERTIDO,É importante para os membros da equipe fazerem parte da equipe,O trabalho em equipe é importante para a equipe,Desequilíbrio de contribuições dos membros causa conflitos em nossa equipe INVERTIDO,Os membros da equipe contribuem para a realização dos objetivos da equipe de acordo com o potencial específico de cada um,A equipe reconhece as características específicas (pontos fortes e fracos) dos membros da equipe individualmente
EQ01,ID01,4,5,5,5,4,4,4,5,5,5,5,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,4,4,5,1,5,5,5,4,5
,ID02,5,5,4,4,4,4,4,5,5,5,2,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5
,ID03,5,4,4,4,1,3,5,1,4,5,3,4,4,5,5,5,4,5,4,3,3,3,3,4,2,5,4,5,4,1,4,3,1,5,5,4,5,4
,ID04,4,5,4,5,1,3,5,3,4,3,1,3,4,5,5,5,4,5,4,5,5,2,4,4,4,3,4,5,5,1,4,5,1,4,5,1,5,4
,ID05,5,5,4,4,2,2,4,2,5,5,2,5,4,4,5,5,5,5,4,4,5,2,4,4,5,5,4,5,5,2,5,4,1,4,5,2,4,4
,ID06,4,5,5,5,3,2,4,3,5,4,2,4,5,5,5,5,5,5,5,5,5,1,5,4,4,5,5,5,5,1,5,5,1,5,5,1,5,5
,ID07,4,4,4,4,2,2,4,2,4,4,2,5,5,5,5,4,5,5,4,5,4,2,4,4,4,4,4,5,5,2,5,5,3,5,5,1,4,4
,ID08,5,5,5,5,4,2,5,5,5,5,3,4,5,5,5,5,4,5,3,5,5,3,4,5,5,5,5,5,5,1,4,5,1,5,5,1,4,5
,ID09,4,5,4,4,2,2,4,3,4,5,1,5,4,4,5,5,4,5,5,4,4,4,3,4,4,5,5,5,5,2,4,5,2,5,5,2,5,5
,ID10,5,5,5,5,1,2,5,1,5,4,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,1,5,5,1,5,4
,ID11,4,5,5,5,2,1,5,1,5,5,1,4,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,4,1,5,5,1,5,5,1,5,4
,ID12,3,3,3,3,2,2,3,3,3,3,1,4,3,3,4,4,3,4,4,3,4,2,2,2,2,4,2,3,3,2,3,2,1,4,4,3,2,3
,ID13,4,4,4,5,3,2,4,5,5,5,2,5,5,5,5,5,4,5,5,5,5,1,4,5,3,5,5,5,5,1,4,4,1,5,5,1,5,5
,ID14,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,3,4,3,4,4,3,3,4,1,5,5,4,4,2
